vendor_id,vendor_name,business_type,subcategory,description,city,province/state,country,service_radius_km,travel_available,price_range_min,price_range_max,pricing_model,packages_available,deposit_required,event_types_supported,guest_capacity_min,guest_capacity_max,service_style,cuisine_type,indoor_outdoor_support,rating_avg,number_of_reviews,years_of_experience,certifications,availability_calendar,lead_time_required_days,cancellation_policy,setup_time_minutes,team_size
V024,Lively Music,DJ,party DJ,"Lively Music provides high-energy DJ services for parties and events, ensuring everyone has a great time.",Houston,TX,USA,75,yes,400,1200,flat fee,"{""basic"": ""$400 for 4 hours"", ""premium"": ""$800 for 8 hours"", ""deluxe"": ""$1200 for 12 hours""}",25%,"['party', 'corporate', 'wedding']",20,400,casual,,both,4.8,90,5,['insured'],available,14,full refund if canceled 10 days before event,30,2
V025,Artful Cakes,bakery,specialty cakes,"Artful Cakes creates specialty cakes tailored to your theme and preferences, ensuring deliciousness and beauty.",Milwaukee,WI,USA,40,no,300,1500,flat fee,"{""small"": ""$300 for basic cake"", ""medium"": ""$800 for custom cakes"", ""large"": ""$1500 for elaborate designs""}",30%,"['wedding', 'birthday']",1,250,luxury,,both,4.9,55,6,['licensed'],available,21,full refund if canceled 10 days before event,30,2
V026,Vibrant Events,event planner,wedding planner,"Vibrant Events specializes in full-service wedding planning, ensuring every detail is taken care of.",Tampa,FL,USA,50,yes,1200,6000,package,"{""basic"": ""$1200 for planning"", ""premium"": ""$6000 for full service""}",20%,"['wedding', 'engagement']",20,300,themed,,both,4.9,80,7,['licensed'],available,30,full refund if canceled 30 days before event,60,3
V027,Charming Events,event planner,event coordinator,"Charming Events provides event coordination services for all types of gatherings, ensuring seamless execution.",Raleigh,NC,USA,40,yes,800,3500,package,"{""basic"": ""$800 for coordination"", ""premium"": ""$3500 for full service""}",20%,"['corporate', 'wedding', 'party']",10,250,casual,,both,4.7,60,4,['licensed'],available,14,full refund if canceled 14 days before event,60,3
V028,Serene Spaces,venue,outdoor venue,"Serene Spaces provides a beautiful outdoor venue for weddings and events, surrounded by nature.",Albuquerque,NM,USA,50,no,1000,5000,flat fee,"{""basic"": ""$1000 for 100 guests"", ""premium"": ""$3000 for 300 guests""}",50%,"['wedding', 'corporate', 'party']",50,300,casual,,outdoor,4.8,40,8,['licensed'],available,60,full refund if canceled 60 days before event,120,5
V029,Elegant Affairs,decorator,event design,"Elegant Affairs specializes in event design, creating stunning aesthetics that reflect your vision.",Cleveland,OH,USA,50,yes,800,4000,package,"{""basic"": ""$800 for small events"", ""premium"": ""$4000 for large events""}",20%,"['wedding', 'corporate', 'party']",20,500,luxury,,both,4.7,75,6,['licensed'],available,30,full refund if canceled 30 days before event,90,4
V030,Creative Flavors,catering,fusion cuisine,Creative Flavors offers innovative fusion cuisine catering that blends various culinary traditions.,Jacksonville,FL,USA,50,yes,45,95,per person,"{""basic"": ""$45 per person"", ""premium"": ""$95 per person""}",15%,"['wedding', 'corporate', 'birthday']",15,200,formal,fusion,both,4.8,60,5,['insured'],available,14,full refund if canceled 7 days before event,45,4
V031,Bridal Bliss,wedding planner,full-service planning,"Bridal Bliss provides full-service wedding planning, ensuring every detail is tailored to your vision.",New Orleans,LA,USA,50,yes,1500,6000,package,"{""basic"": ""$1500 for coordination"", ""premium"": ""$6000 for full service""}",20%,['wedding'],30,300,luxury,,both,4.9,75,5,['licensed'],available,30,full refund if canceled 30 days before event,60,3
V032,Dazzling Events,decorator,event setup,"Dazzling Events specializes in event setups, ensuring every detail is perfectly arranged for your special day.",Fort Worth,TX,USA,60,yes,500,3000,package,"{""basic"": ""$500 for small events"", ""premium"": ""$3000 for large events""}",20%,"['corporate', 'wedding', 'party']",10,400,formal,,both,4.6,80,6,['licensed'],available,30,full refund if canceled 30 days before event,90,4
V033,Whimsical Weddings,event planner,wedding coordinator,Whimsical Weddings provides personalized wedding coordination services to ensure your day is magical.,Birmingham,AL,USA,50,yes,800,3500,package,"{""basic"": ""$800 for coordination"", ""premium"": ""$3500 for full service""}",20%,['wedding'],10,250,casual,,both,4.8,55,4,['licensed'],available,14,full refund if canceled 14 days before event,60,3
V034,Culinary Creations,catering,gourmet catering,Culinary Creations offers gourmet catering services with a focus on quality ingredients and exquisite flavors.,Columbus,OH,USA,50,yes,40,90,per person,"{""basic"": ""$40 per person"", ""premium"": ""$90 per person""}",15%,"['corporate', 'wedding', 'birthday']",20,250,formal,gourmet,both,4.7,65,5,['insured'],available,14,full refund if canceled 7 days before event,45,4
V035,Timeless Rentals,event rentals,vintage rentals,"Timeless Rentals offers vintage decor and furniture rentals for events, creating a charming atmosphere.",Pittsburgh,PA,USA,50,yes,150,2000,package,"{""basic"": ""$150 for small items"", ""standard"": ""$500 for medium events"", ""premium"": ""$2000 for large events""}",25%,"['corporate', 'wedding', 'party']",20,500,casual,,both,4.5,70,5,['insured'],available,14,full refund if canceled 10 days before event,90,3
V036,Luxe Events,event planner,luxury events,"Luxe Events specializes in luxury event planning, offering bespoke services for high-end gatherings.",San Antonio,TX,USA,50,yes,2000,10000,package,"{""basic"": ""$2000 for small luxury events"", ""premium"": ""$10000 for large luxury events""}",25%,"['corporate', 'wedding']",30,500,luxury,,both,4.9,90,10,['licensed'],available,30,full refund if canceled 30 days before event,120,5
V037,Cakes Galore,bakery,wedding cakes,Cakes Galore specializes in creating beautiful and delicious wedding cakes tailored to your theme.,Tucson,AZ,USA,40,no,250,1200,flat fee,"{""small"": ""$250 for basic cake"", ""medium"": ""$800 for custom cakes"", ""large"": ""$1200 for elaborate designs""}",30%,"['wedding', 'birthday']",1,300,luxury,,both,4.9,45,5,['licensed'],available,21,full refund if canceled 10 days before event,30,2
V038,Unique Venues,venue,specialty venue,"Unique Venues offers distinctive spaces for events, perfect for creating unforgettable experiences.",Omaha,NE,USA,50,no,1500,7000,flat fee,"{""basic"": ""$1500 for 100 guests"", ""premium"": ""$3500 for 200 guests"", ""luxury"": ""$7000 for 500 guests""}",50%,"['wedding', 'corporate', 'party']",50,500,luxury,,indoor,4.8,60,11,['licensed'],available,60,full refund if canceled 60 days before event,120,10
V039,Gourmet Delights,catering,fine dining catering,Gourmet Delights offers an upscale catering experience with gourmet dishes and exceptional service.,Virginia Beach,VA,USA,60,yes,80,200,per person,"{""basic"": ""$80 per person"", ""deluxe"": ""$200 per person""}",15%,"['wedding', 'corporate', 'birthday']",10,200,luxury,fine dining,both,4.9,85,5,['licensed'],available,14,full refund if canceled 7 days before event,45,4
V040,Dreamy Decor,decorator,event decor,Dreamy Decor specializes in creating enchanting event decor that transforms spaces into magical environments.,Salt Lake City,UT,USA,50,yes,600,3000,package,"{""basic"": ""$600 for small events"", ""premium"": ""$3000 for large events""}",20%,"['corporate', 'wedding', 'party']",10,400,luxury,,both,4.7,75,5,['licensed'],available,30,full refund if canceled 30 days before event,90,4
